lp;ID_Mapa;InnerLnd;borough;Area_Code;Area_Name;X1_All_1674_in_work;X1_comm_bike;X1_proc_comm_bike;X2_Total_pop_nat;X2_1a_British;X2_1bc_NonBritish;X2_2b_EU;X2_2c_Non_EU;X2_21_OtherEuro;X2_2c2_Asia_All;X2_2c3_Rest_World_All;X3_Total_pop_cob;X3_1a_UK_cob;X3_1bc_NonUK_cob;X3_2b_EU_cob;X3_2c_All_NonEU_cob;X3_2c1_OtherEuro_cob;X3_2c2_All_Asia_cob;X3_2c3_Rest_World_all_cob;X4a_White;X4b_Asian;X4c_Black;X4d_Mixed_Other;X4abcd_Total_ethnic;x4_white_pr;x4_asian_pr;x4_black_pr;X5_Social_integration;X6_Rail_Entries_Exits_Full;X6_Rail_Entries_Exits_Reduced;X6_Rail_Entries_Exits_Season;X6_Rail_Entries_Exits;X7_AvPTAI2015;X7_PTAL;X9_PLG_cars_Private;X9_Total_PLG;X10_LCN_km;X10_LCNpl_km;X10sum_LCN_LCNpl;X11_1a_Trips_pday;X11_1b_Rail;X11_1c_UndergrDLR;X11_1d_Bus_tram;X11_1e_Taxi_other;X11_1f_Car_motor;X11_1g_Cycle;X11_1h_Walk;X11_1i_Sum_Ptrans;X11_2_Bus_realibility;X11_3a_CO2_Road_transport;X_11_3b_CO2_Total_grbased_transport;X11_3c_CO2_Gr_based_trans_ton_pc;X11_4_HighwayCond;x12b_entry_exit_mln;x13bbus_speed;x15_km;x15_density;x16_unemp;x4_nonwhite_pr;x4_nonwhite;Xcity
21;0;0;1;E09000021;Kingston upon Thames;81957;3351;4,1;178;145;33;17;16;1;10;5;178;122;56;15;41;4;24;13;128000;27000;5000;18000;178000;72,00;15,00;3,00;94;6601382;8730168;8214300;23545850;5,43;2;63188;70413;73;35;108;379;8;1;12;1;42;4;33;21;0,9;162;162;1;18,2;0,0;9,5;37,3;4820;6,3;28;50000;0
8;1;0;1;E09000008;Croydon;172987;2172;1,3;387;307;80;37;43;4;24;16;387;252;135;28;107;6;49;52;216000;79000;70000;22000;387000;56,00;20,00;18,00;92;12259220;18228640;20604348;51092208;6,76;2;132304;148184;139;39;178;755;7;0;16;1;51;1;25;23;1;242;244;0,6;13,2;0,0;9,3;86,5;4523;9,8;44;171000;0
6;2;0;1;E09000006;Bromley;151368;2254;1,5;330;305;25;12;12;2;6;4;330;279;51;17;34;4;17;14;258000;26000;18000;27000;329000;78,00;8,00;5,00;83;11011338;13295206;17151160;41457704;3,59;1;141088;157146;148;35;183;727;7;0;1;1;56;1;25;17;1,1;258;260;0,8;6,6;0,0;10,9;150,1;2216;6,9;22;71000;0
18;3;0;1;E09000018;Hounslow;127032;4160;3,3;278;187;91;44;47;7;28;13;278;139;138;32;106;5;68;33;123000;96000;24000;34000;277000;44,00;35,00;9,00;89;4571770;4301066;5789710;14662546;5,84;2;90401;101977;165;58;223;461;4;6;14;1;44;3;29;24;1,1;294;398;1,5;2,8;25,6;8,8;56;4971;7,7;56;154000;0
9;4;0;1;E09000009;Ealing;164820;4944;3,0;348;250;98;65;33;;21;12;348;183;165;55;111;3;73;35;161000;115000;28000;42000;347000;46,00;33,00;8,00;93;3789224;4979464;5012322;13781010;8,50;2;105666;122672;136;34;170;611;2;8;18;1;37;2;32;28;1,2;289;302;0,9;24,4;67,7;8,6;55,5;6315;9,1;54;185000;0
16;5;0;1;E09000016;Havering;112846;1020;0,9;253;229;23;16;8;2;2;4;253;218;35;16;18;3;8;8;217000;13000;9000;13000;253000;86,00;5,00;4,00;87;7311496;8286100;6772146;22369742;2,75;1;108268;124686;67;23;90;426;5;2;14;1;54;1;24;21;1,1;356;361;1,5;8,5;12,2;10,5;112,3;2292;8;14;35000;0
17;6;0;1;E09000017;Hillingdon;130290;1936;1,5;307;257;50;28;21;1;16;4;307;203;104;22;82;3;59;20;171000;94000;16000;25000;306000;56,00;31,00;5,00;87;1849850;2313266;2089548;6252664;3,56;1;117480;148038;179;55;234;614;2;6;11;3;56;1;21;19;1,1;417;1145;3,9;11,8;46,2;11,4;115,7;2679;8,1;44;135000;0
15;7;0;1;E09000015;Harrow;113900;901;0,8;252;186;67;48;19;1;12;5;252;127;125;43;82;3;48;31;113000;105000;10000;25000;252000;45,00;42,00;4,00;89;2402432;3569254;1509242;7480928;5,82;2;95689;104249;94;24;118;460;1;7;1;1;5;1;3;18;1,1;142;145;0,6;9;36,2;9,9;50,5;5061;7,1;55;140000;0
5;8;0;1;E09000005;Brent;147461;3859;2,6;333;217;114;74;40;2;25;14;333;155;178;56;122;4;67;51;124000;103000;62000;44000;332000;37,00;31,00;19,00;89;6108112;10574290;8002656;24685058;9,22;2;83919;98444;119;28;147;532;2;1;17;1;39;3;28;29;1,1;212;220;0,7;17,1;98,1;8,5;43,2;7792;11,4;63;209000;0
3;9;0;1;E09000003;Barnet;170658;2473;1,4;391;310;81;54;27;4;9;14;391;247;144;59;85;13;39;33;268000;58000;14000;50000;390000;69,00;15,00;4,00;91;1875838;2055572;2476674;6408084;5,54;2;132590;147703;118;45;163;809;2;7;13;1;46;1;31;22;1;398;403;1,1;31,1;63,6;9,4;86,7;4577;7,4;31;122000;0
